Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),40.210376199158624,degrees
Galactic Latitude (B),13.76916873707978,degrees
Right Ascension (RA),273.6783098477492,degrees
Declination (DEC),12.594102683024664,degrees
observed Frequency,1420.3663809212599,MHz
Observation Time,2025-11-28 14:06:56,
Calculated Parameters
Vr,-8.3,km/s
Ur,133.7,km/s
Ut,158.8,km/s
Total Velocity,207.6,km/s
Distance from Sun,-0.6,kpc
Galactic center Distance,8.9,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,26.76,26.84
1419.4215,25.81,25.77
1419.4372,25.25,25.14
1419.453,25.06,25.08
1419.4687,25.63,25.66
1419.4845,27.15,27.1
1419.5002,29.27,29.33
1419.516,32.22,32.08
1419.5317,35.16,35.4
1419.5475,38.93,38.94
1419.5632,42.61,42.6
1419.579,46.44,46.63
1419.5947,50.45,50.23
1419.6105,53.98,53.94
1419.6262,57.44,57.6
1419.642,61.2,61.29
1419.6577,64.34,64.7
1419.6735,67.64,67.62
1419.6892,70.45,70.47
1419.705,72.87,72.86
1419.7207,75.05,74.97
1419.7365,76.47,77.13
1419.7522,78.48,78.64
1419.768,79.59,79.92
1419.7837,80.75,80.8
1419.7995,81.2,81.8
1419.8152,81.35,81.73
1419.8309,81.45,81.9
1419.8467,81.12,81.89
1419.8624,81.23,81.53
1419.8782,80.51,81.23
1419.8939,80.02,80.76
1419.9097,79.35,80.23
1419.9254,79.08,79.64
1419.9412,78.49,79.33
1419.9569,77.67,78.55
1419.9727,76.84,77.7
1419.9884,76.68,77.15
1420.0042,75.98,76.96
1420.0199,75.61,76.25
1420.0357,75.39,76.02
1420.0514,74.84,76.3
1420.0672,74.86,75.59
1420.0829,74.88,75.85
1420.0987,75.04,76.14
1420.1144,74.92,76.05
1420.1302,75.61,76.79
1420.1459,75.94,77.48
1420.1617,76.15,78.27
1420.1774,76.87,79.08
1420.1932,77.45,79.88
1420.2089,78.12,80.71
1420.2246,78.4,82.32
1420.2404,79.22,83.61
1420.2561,80.38,84.59
1420.2719,80.76,86.36
1420.2876,81.53,87.96
1420.3034,82.21,90.35
1420.3191,82.84,93.1
1420.3349,83.32,97.28
1420.3506,83.8,102.95
1420.3664,83.86,109.05
1420.3821,84.31,107.68
1420.3979,83.9,103.73
1420.4136,83.92,101.27
1420.4294,83.73,97.54
1420.4451,83.66,94.97
1420.4609,83.21,92.38
1420.4766,82.8,89.95
1420.4924,82.01,88.35
1420.5081,81.61,86.82
1420.5239,80.88,84.89
1420.5396,80.06,83.3
1420.5554,79.17,81.65
1420.5711,77.56,80.67
1420.5869,77.32,79.14
1420.6026,76.42,78.2
1420.6183,75.71,77.18
1420.6341,74.73,76.1
1420.6498,73.92,75.27
1420.6656,73.3,74.96
1420.6813,72.53,74.13
1420.6971,71.98,73.57
1420.7128,71.76,72.92
1420.7286,71.24,72.62
1420.7443,71.34,72.48
1420.7601,70.94,72.48
1420.7758,71.02,72.45
1420.7916,71.23,72.43
1420.8073,71.63,72.63
1420.8231,71.79,72.92
1420.8388,72.12,73.23
1420.8546,72.68,73.69
1420.8703,73.42,74.0
1420.8861,74.33,74.93
1420.9018,74.57,75.4
1420.9176,75.34,76.22
1420.9333,75.88,76.59
1420.9491,76.39,77.52
1420.9648,77.03,77.31
1420.9806,77.97,78.09
1420.9963,77.97,78.45
1421.0121,78.13,78.45
1421.0278,77.83,78.32
1421.0435,77.58,78.35
1421.0593,76.99,77.54
1421.075,76.48,76.96
1421.0908,75.78,75.82
1421.1065,74.22,74.39
1421.1223,72.99,73.05
1421.138,71.13,71.09
1421.1538,68.96,69.08
1421.1695,66.5,66.67
1421.1853,64.46,64.11
1421.201,61.7,61.49
1421.2168,58.88,58.67
1421.2325,55.78,56.0
1421.2483,52.71,52.7
1421.264,49.47,49.7
1421.2798,46.78,46.49
1421.2955,43.56,43.94
1421.3113,40.89,40.82
1421.327,38.03,38.11
1421.3428,35.96,35.59
1421.3585,33.56,33.5
1421.3743,31.39,31.31
1421.39,29.78,29.55
1421.4058,28.23,28.03
