Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),31.065909446265003,degrees
Galactic Latitude (B),32.26691377595955,degrees
Right Ascension (RA),252.87186861241082,degrees
Declination (DEC),12.646117572027771,degrees
observed Frequency,1420.4451210787402,MHz
Observation Time,2025-11-25 12:55:43,
Calculated Parameters
Vr,8.3,km/s
Ur,121.8,km/s
Ut,213.3,km/s
Total Velocity,245.7,km/s
Distance from Sun,0.6,kpc
Galactic center Distance,8.0,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,27.57,27.54
1419.4215,26.73,26.85
1419.4372,26.39,26.27
1419.453,26.4,26.29
1419.4687,26.91,27.09
1419.4845,28.24,28.29
1419.5002,30.31,30.28
1419.516,32.95,33.1
1419.5317,36.15,36.22
1419.5475,39.63,39.96
1419.5632,43.66,43.51
1419.579,47.54,47.63
1419.5947,51.36,51.6
1419.6105,55.21,55.42
1419.6262,58.91,58.98
1419.642,62.4,62.54
1419.6577,65.89,65.86
1419.6735,69.01,69.11
1419.6892,71.8,72.02
1419.705,74.06,74.69
1419.7207,76.48,76.42
1419.7365,78.63,79.11
1419.7522,80.12,79.98
1419.768,81.09,81.49
1419.7837,82.3,82.31
1419.7995,82.96,82.8
1419.8152,83.1,83.58
1419.8309,83.46,84.1
1419.8467,83.31,83.71
1419.8624,83.37,83.34
1419.8782,82.35,82.59
1419.8939,82.17,82.48
1419.9097,81.98,82.11
1419.9254,80.98,81.15
1419.9412,80.17,80.29
1419.9569,79.99,80.1
1419.9727,78.52,79.24
1419.9884,78.79,78.68
1420.0042,77.57,78.17
1420.0199,77.47,77.82
1420.0357,77.01,77.29
1420.0514,77.02,77.39
1420.0672,76.59,77.12
1420.0829,76.84,77.23
1420.0987,77.14,77.26
1420.1144,77.03,77.54
1420.1302,77.52,77.92
1420.1459,78.02,78.75
1420.1617,78.5,79.44
1420.1774,79.14,79.7
1420.1932,79.78,80.72
1420.2089,80.2,81.46
1420.2246,81.31,82.4
1420.2404,81.68,83.02
1420.2561,82.64,83.81
1420.2719,82.8,84.7
1420.2876,83.68,85.71
1420.3034,84.69,86.38
1420.3191,84.66,87.83
1420.3349,85.75,88.79
1420.3506,85.99,89.76
1420.3664,86.21,90.98
1420.3821,86.49,92.1
1420.3979,86.82,93.87
1420.4136,86.37,97.41
1420.4294,86.26,100.59
1420.4451,85.91,104.45
1420.4609,86.31,103.58
1420.4766,84.82,97.62
1420.4924,84.94,91.71
1420.5081,83.68,88.49
1420.5239,83.15,86.45
1420.5396,81.98,84.39
1420.5554,81.5,83.96
1420.5711,80.8,82.35
1420.5869,80.04,81.2
1420.6026,78.21,79.85
1420.6183,77.9,79.38
1420.6341,76.8,78.29
1420.6498,76.44,77.35
1420.6656,75.38,76.7
1420.6813,74.75,75.9
1420.6971,74.03,75.51
1420.7128,73.8,74.83
1420.7286,73.73,74.71
1420.7443,73.0,74.34
1420.7601,73.35,73.88
1420.7758,73.1,74.39
1420.7916,73.1,74.6
1420.8073,73.89,74.78
1420.8231,73.78,75.08
1420.8388,74.3,75.41
1420.8546,74.45,75.55
1420.8703,74.99,76.57
1420.8861,76.12,77.2
1420.9018,76.5,78.05
1420.9176,77.07,78.13
1420.9333,77.83,78.78
1420.9491,78.55,79.73
1420.9648,78.88,80.06
1420.9806,79.39,80.6
1420.9963,79.56,80.78
1421.0121,80.11,80.68
1421.0278,79.38,80.62
1421.0435,79.69,79.95
1421.0593,79.31,79.84
1421.075,78.19,78.77
1421.0908,76.75,77.79
1421.1065,75.39,76.58
1421.1223,73.9,74.35
1421.138,72.4,72.51
1421.1538,69.66,70.41
1421.1695,67.48,68.1
1421.1853,65.21,65.45
1421.201,62.4,62.4
1421.2168,59.25,59.53
1421.2325,56.32,56.25
1421.2483,52.99,53.39
1421.264,49.81,50.32
1421.2798,46.77,46.98
1421.2955,43.65,43.93
1421.3113,40.86,40.89
1421.327,38.07,38.36
1421.3428,35.79,35.85
1421.3585,33.55,33.63
1421.3743,31.56,31.72
1421.39,30.04,30.01
1421.4058,28.58,28.76
