Trial Number,1019,
Galactic Longitude (L),189.2919555752038,degrees
Galactic Latitude (B),-14.138599681827408,degrees
Right Ascension (RA),78.90309505126832,degrees
Declination (DEC),13.572862428420413,degrees
observed Frequency,1420.3191368267717,MHz
Observation Time,2025-12-18 23:47:40,
Calculated Parameters (Tangent Point Method)
Radial Velocity (Vr),18.28,km/s
Tangent Point Distance (R),1.37,kpc
Rotation Velocity (V_rot),-17.24,km/s
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,29.94,29.66
1419.4215,29.17,28.81
1419.4372,28.76,28.58
1419.453,28.61,28.49
1419.4687,29.15,29.22
1419.4845,30.35,30.69
1419.5002,32.45,32.74
1419.516,35.05,35.57
1419.5317,38.56,38.97
1419.5475,42.16,42.72
1419.5632,45.92,46.68
1419.579,49.88,50.69
1419.5947,54.04,54.65
1419.6105,58.06,58.81
1419.6262,62.18,62.78
1419.642,66.06,66.52
1419.6577,69.27,70.14
1419.6735,72.52,73.59
1419.6892,75.57,76.39
1419.705,78.22,79.19
1419.7207,80.69,81.66
1419.7365,82.98,83.75
1419.7522,84.52,85.59
1419.768,85.86,86.94
1419.7837,86.91,87.26
1419.7995,87.24,88.75
1419.8152,88.34,88.98
1419.8309,87.97,89.49
1419.8467,88.37,89.19
1419.8624,87.53,88.97
1419.8782,87.19,87.92
1419.8939,86.93,87.85
1419.9097,86.22,87.2
1419.9254,85.75,86.54
1419.9412,84.82,86.2
1419.9569,84.36,84.91
1419.9727,83.47,84.27
1419.9884,83.26,83.83
1420.0042,82.81,83.49
1420.0199,81.93,82.59
1420.0357,81.65,82.25
1420.0514,81.61,82.89
1420.0672,81.47,82.19
1420.0829,81.13,82.74
1420.0987,81.64,82.9
1420.1144,81.64,82.97
1420.1302,82.3,83.34
1420.1459,82.62,83.74
1420.1617,83.03,84.43
1420.1774,84.04,85.75
1420.1932,84.1,87.04
1420.2089,85.41,88.56
1420.2246,86.11,90.27
1420.2404,86.75,92.82
1420.2561,87.52,97.73
1420.2719,88.3,104.74
1420.2876,88.73,115.54
1420.3034,89.58,125.18
1420.3191,90.39,129.03
1420.3349,91.2,127.6
1420.3506,91.39,122.56
1420.3664,91.55,115.72
1420.3821,91.67,109.88
1420.3979,92.41,105.59
1420.4136,91.95,101.88
1420.4294,91.58,99.72
1420.4451,91.2,97.44
1420.4609,91.06,95.71
1420.4766,90.02,94.25
1420.4924,89.7,93.03
1420.5081,89.31,91.76
1420.5239,88.09,90.6
1420.5396,87.35,89.0
1420.5554,86.66,87.78
1420.5711,85.55,86.97
1420.5869,84.55,85.66
1420.6026,84.25,84.77
1420.6183,82.79,83.56
1420.6341,82.15,82.59
1420.6498,81.33,81.59
1420.6656,80.82,81.22
1420.6813,80.14,80.2
1420.6971,79.18,79.6
1420.7128,78.99,79.1
1420.7286,78.78,78.82
1420.7443,78.49,78.96
1420.7601,78.44,78.42
1420.7758,78.17,78.82
1420.7916,78.9,78.26
1420.8073,79.18,78.64
1420.8231,79.47,79.44
1420.8388,79.92,79.3
1420.8546,80.53,80.4
1420.8703,81.08,80.29
1420.8861,81.54,81.1
1420.9018,82.32,82.2
1420.9176,82.82,82.34
1420.9333,83.97,83.33
1420.9491,84.7,84.14
1420.9648,85.19,84.29
1420.9806,85.33,84.9
1420.9963,86.35,84.88
1421.0121,86.02,85.04
1421.0278,86.15,84.43
1421.0435,85.77,84.53
1421.0593,85.25,83.59
1421.075,84.77,83.0
1421.0908,83.51,82.08
1421.1065,81.97,79.94
1421.1223,80.0,78.19
1421.138,78.41,76.53
1421.1538,75.86,74.24
1421.1695,73.04,71.17
1421.1853,70.39,68.66
1421.201,67.66,65.46
1421.2168,64.15,62.59
1421.2325,60.88,59.37
1421.2483,57.43,55.81
1421.264,54.11,52.44
1421.2798,50.69,49.34
1421.2955,47.47,45.95
1421.3113,44.4,43.17
1421.327,41.48,40.43
1421.3428,38.62,37.79
1421.3585,36.32,35.48
1421.3743,34.35,33.52
1421.39,32.45,31.81
1421.4058,31.13,30.53
