Trial Number,608,
Galactic Longitude (L),175.631877197198,degrees
Galactic Latitude (B),-31.91034459959064,degrees
Right Ascension (RA),56.62494544458539,degrees
Declination (DEC),12.520523483172155,degrees
observed Frequency,1420.3506328897638,MHz
Observation Time,2025-11-20 00:12:49,
Calculated Parameters
Vr,-11.6,km/s
Ur,5.1,km/s
Ut,-308.8,km/s
Total Velocity,308.8,km/s
Distance from Sun,5.2,kpc
Galactic center Distance,13.7,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,30.06,30.01
1419.4215,29.32,29.21
1419.4372,28.72,28.77
1419.453,28.74,28.85
1419.4687,29.37,29.45
1419.4845,30.72,30.76
1419.5002,32.82,32.89
1419.516,35.58,35.88
1419.5317,38.87,39.27
1419.5475,42.72,43.11
1419.5632,46.51,47.2
1419.579,50.61,51.29
1419.5947,55.01,55.5
1419.6105,58.97,59.77
1419.6262,62.92,63.73
1419.642,66.55,67.5
1419.6577,70.4,70.95
1419.6735,73.71,74.28
1419.6892,76.07,77.57
1419.705,79.68,79.96
1419.7207,81.94,82.3
1419.7365,83.74,84.86
1419.7522,85.82,86.38
1419.768,86.44,87.49
1419.7837,88.34,88.79
1419.7995,88.23,89.42
1419.8152,89.15,90.25
1419.8309,89.37,90.32
1419.8467,89.48,90.21
1419.8624,88.67,90.39
1419.8782,88.63,89.19
1419.8939,88.04,88.57
1419.9097,87.43,88.37
1419.9254,86.55,87.72
1419.9412,86.02,87.04
1419.9569,85.59,86.05
1419.9727,84.52,85.38
1419.9884,84.0,85.43
1420.0042,83.71,84.19
1420.0199,83.31,83.99
1420.0357,83.23,84.22
1420.0514,82.57,83.37
1420.0672,82.54,83.72
1420.0829,82.49,83.42
1420.0987,82.78,83.49
1420.1144,82.83,83.97
1420.1302,83.48,84.73
1420.1459,83.42,84.82
1420.1617,84.26,85.47
1420.1774,84.95,86.05
1420.1932,85.39,87.22
1420.2089,86.47,87.49
1420.2246,87.07,88.48
1420.2404,88.3,89.74
1420.2561,88.83,90.69
1420.2719,89.28,92.12
1420.2876,90.12,95.46
1420.3034,90.89,101.16
1420.3191,91.51,110.13
1420.3349,91.97,117.19
1420.3506,92.25,119.1
1420.3664,92.53,116.41
1420.3821,92.9,111.87
1420.3979,93.07,105.29
1420.4136,92.91,101.12
1420.4294,92.7,98.69
1420.4451,92.09,97.6
1420.4609,92.04,96.45
1420.4766,92.05,95.81
1420.4924,91.18,94.42
1420.5081,90.4,93.13
1420.5239,89.28,91.87
1420.5396,88.49,91.15
1420.5554,87.53,89.56
1420.5711,86.64,88.49
1420.5869,85.99,87.62
1420.6026,84.82,85.96
1420.6183,83.83,85.31
1420.6341,82.76,84.26
1420.6498,82.1,83.27
1420.6656,81.11,82.66
1420.6813,80.68,82.11
1420.6971,80.12,81.15
1420.7128,79.97,80.36
1420.7286,78.83,80.27
1420.7443,78.51,79.66
1420.7601,78.96,79.92
1420.7758,78.77,79.67
1420.7916,78.96,80.1
1420.8073,79.59,80.04
1420.8231,79.79,80.29
1420.8388,80.2,80.83
1420.8546,80.65,81.07
1420.8703,81.26,81.73
1420.8861,82.17,82.91
1420.9018,83.01,83.12
1420.9176,83.56,84.07
1420.9333,84.32,84.6
1420.9491,84.76,85.01
1420.9648,85.72,85.85
1420.9806,85.77,85.99
1420.9963,86.31,86.18
1421.0121,86.46,86.12
1421.0278,86.34,86.13
1421.0435,85.99,85.59
1421.0593,85.3,84.75
1421.075,84.29,84.37
1421.0908,83.34,83.21
1421.1065,81.78,81.55
1421.1223,79.88,79.45
1421.138,78.16,77.66
1421.1538,75.7,75.37
1421.1695,73.25,72.93
1421.1853,70.49,69.59
1421.201,67.71,66.7
1421.2168,64.09,63.41
1421.2325,60.88,60.25
1421.2483,57.76,57.03
1421.264,54.48,53.85
1421.2798,51.09,50.33
1421.2955,47.78,46.94
1421.3113,44.69,43.78
1421.327,41.64,41.15
1421.3428,39.02,38.74
1421.3585,36.62,36.17
1421.3743,34.42,34.1
1421.39,32.84,32.42
1421.4058,31.25,31.04
