Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),22.06444075071141,degrees
Galactic Latitude (B),47.06939074022803,degrees
Right Ascension (RA),236.1445785681304,degrees
Declination (DEC),12.683981765208108,degrees
observed Frequency,1420.5238612362205,MHz
Observation Time,2025-11-22 12:00:49,
Calculated Parameters
Vr,24.9,km/s
Ur,107.6,km/s
Ut,343.5,km/s
Total Velocity,359.9,km/s
Distance from Sun,2.4,kpc
Galactic center Distance,6.3,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,27.98,28.25
1419.4215,27.27,27.37
1419.4372,26.91,26.92
1419.453,26.96,27.07
1419.4687,27.35,27.54
1419.4845,28.84,28.8
1419.5002,30.87,31.17
1419.516,33.58,33.72
1419.5317,36.79,37.12
1419.5475,40.76,40.74
1419.5632,44.17,44.74
1419.579,48.25,48.7
1419.5947,52.36,52.58
1419.6105,56.33,56.7
1419.6262,59.75,60.31
1419.642,63.46,64.14
1419.6577,67.15,67.62
1419.6735,70.31,70.88
1419.6892,72.86,73.9
1419.705,75.81,76.35
1419.7207,78.05,78.4
1419.7365,80.22,80.25
1419.7522,81.71,81.99
1419.768,82.56,83.41
1419.7837,83.98,84.69
1419.7995,84.65,85.39
1419.8152,85.02,85.48
1419.8309,85.16,85.69
1419.8467,84.68,85.71
1419.8624,84.72,85.46
1419.8782,84.48,85.0
1419.8939,83.72,84.64
1419.9097,83.05,83.64
1419.9254,82.31,83.32
1419.9412,81.56,82.67
1419.9569,80.77,81.83
1419.9727,80.36,81.42
1419.9884,79.9,80.92
1420.0042,79.16,80.28
1420.0199,78.96,79.75
1420.0357,78.7,79.42
1420.0514,78.52,79.21
1420.0672,78.25,79.15
1420.0829,78.19,79.26
1420.0987,78.54,79.46
1420.1144,78.78,79.88
1420.1302,78.96,80.18
1420.1459,79.67,80.68
1420.1617,79.76,80.87
1420.1774,80.66,81.53
1420.1932,81.46,82.33
1420.2089,82.16,83.01
1420.2246,82.53,83.5
1420.2404,83.25,84.42
1420.2561,84.18,84.83
1420.2719,85.14,85.69
1420.2876,85.66,86.63
1420.3034,86.39,87.29
1420.3191,86.96,87.76
1420.3349,87.32,88.89
1420.3506,88.03,88.53
1420.3664,87.93,89.34
1420.3821,87.75,89.54
1420.3979,88.12,89.94
1420.4136,88.09,89.74
1420.4294,88.13,89.76
1420.4451,87.47,89.8
1420.4609,87.77,90.2
1420.4766,86.86,90.05
1420.4924,85.88,90.11
1420.5081,85.33,90.31
1420.5239,85.15,90.2
1420.5396,83.52,87.82
1420.5554,83.08,85.54
1420.5711,81.99,84.2
1420.5869,81.23,83.45
1420.6026,80.11,82.04
1420.6183,79.4,80.7
1420.6341,78.57,80.03
1420.6498,78.01,78.82
1420.6656,76.77,78.47
1420.6813,76.25,77.61
1420.6971,75.95,76.8
1420.7128,75.48,76.47
1420.7286,74.94,76.1
1420.7443,74.24,75.69
1420.7601,74.58,75.65
1420.7758,74.64,75.74
1420.7916,74.69,76.01
1420.8073,74.63,76.05
1420.8231,75.43,76.4
1420.8388,75.61,76.69
1420.8546,76.17,77.59
1420.8703,76.52,78.08
1420.8861,77.54,78.42
1420.9018,78.1,79.17
1420.9176,78.1,79.78
1420.9333,79.06,80.28
1420.9491,79.67,81.21
1420.9648,80.13,81.27
1420.9806,81.03,81.96
1420.9963,80.67,82.51
1421.0121,81.04,82.38
1421.0278,80.93,82.24
1421.0435,80.71,81.61
1421.0593,80.17,81.4
1421.075,79.23,80.1
1421.0908,78.73,79.16
1421.1065,76.85,77.47
1421.1223,75.15,76.4
1421.138,73.32,74.26
1421.1538,71.31,71.7
1421.1695,69.1,69.57
1421.1853,66.11,66.94
1421.201,63.39,63.87
1421.2168,60.63,61.03
1421.2325,57.19,57.92
1421.2483,53.75,54.33
1421.264,50.91,51.45
1421.2798,47.62,47.93
1421.2955,44.53,44.98
1421.3113,41.65,42.2
1421.327,38.86,39.28
1421.3428,36.47,36.86
1421.3585,34.25,34.43
1421.3743,32.32,32.54
1421.39,30.5,30.76
1421.4058,29.19,29.36
