Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),41.22913654385237,degrees
Galactic Latitude (B),11.660437207364879,degrees
Right Ascension (RA),276.06689439978425,degrees
Declination (DEC),12.588144824862043,degrees
observed Frequency,1420.413625015748,MHz
Observation Time,2025-11-30 14:08:35,
Calculated Parameters
Vr,1.7,km/s
Ur,146.7,km/s
Ut,167.0,km/s
Total Velocity,222.3,km/s
Distance from Sun,0.1,kpc
Galactic center Distance,8.4,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,35.51,35.13
1419.4215,34.5,34.28
1419.4372,33.98,33.86
1419.453,34.19,33.91
1419.4687,34.68,34.48
1419.4845,36.12,36.06
1419.5002,38.16,38.26
1419.516,41.15,41.47
1419.5317,44.86,45.11
1419.5475,49.15,49.57
1419.5632,53.55,54.29
1419.579,58.43,58.52
1419.5947,62.94,63.23
1419.6105,67.34,68.4
1419.6262,72.02,72.41
1419.642,76.02,76.8
1419.6577,80.29,80.79
1419.6735,83.91,84.26
1419.6892,87.74,88.25
1419.705,90.51,91.08
1419.7207,93.2,93.84
1419.7365,95.67,96.52
1419.7522,97.29,98.27
1419.768,98.92,100.11
1419.7837,100.26,101.35
1419.7995,101.1,101.96
1419.8152,101.71,102.35
1419.8309,101.72,102.74
1419.8467,101.93,102.57
1419.8624,101.52,102.48
1419.8782,101.16,102.37
1419.8939,100.87,101.87
1419.9097,100.47,100.95
1419.9254,99.01,100.24
1419.9412,98.69,99.51
1419.9569,97.6,98.41
1419.9727,97.13,98.0
1419.9884,96.06,97.61
1420.0042,96.16,96.5
1420.0199,95.52,96.53
1420.0357,95.33,96.18
1420.0514,94.56,95.58
1420.0672,95.22,95.74
1420.0829,95.03,95.41
1420.0987,95.0,96.18
1420.1144,95.15,96.54
1420.1302,95.19,97.0
1420.1459,96.01,96.9
1420.1617,96.7,97.82
1420.1774,97.56,98.9
1420.1932,98.34,99.51
1420.2089,99.48,100.75
1420.2246,100.36,101.39
1420.2404,101.14,102.64
1420.2561,101.97,103.66
1420.2719,103.21,104.23
1420.2876,103.98,105.53
1420.3034,104.06,107.01
1420.3191,105.0,107.66
1420.3349,105.79,108.52
1420.3506,105.83,109.54
1420.3664,106.28,111.12
1420.3821,106.66,111.67
1420.3979,107.37,113.52
1420.4136,106.36,114.1
1420.4294,106.74,114.41
1420.4451,106.37,113.69
1420.4609,105.97,111.87
1420.4766,104.62,110.22
1420.4924,103.87,108.46
1420.5081,103.29,106.23
1420.5239,102.76,105.17
1420.5396,101.9,103.49
1420.5554,100.95,102.15
1420.5711,99.73,101.06
1420.5869,98.53,99.83
1420.6026,97.04,98.88
1420.6183,95.99,97.76
1420.6341,95.2,97.15
1420.6498,93.83,95.77
1420.6656,93.54,95.13
1420.6813,92.48,93.8
1420.6971,92.03,93.6
1420.7128,91.66,92.51
1420.7286,91.28,92.47
1420.7443,90.43,91.73
1420.7601,90.09,92.08
1420.7758,90.62,91.59
1420.7916,90.62,92.04
1420.8073,90.98,91.83
1420.8231,91.65,92.29
1420.8388,91.82,92.95
1420.8546,92.24,93.5
1420.8703,93.06,94.15
1420.8861,93.78,94.96
1420.9018,94.7,95.56
1420.9176,95.57,95.83
1420.9333,96.35,96.7
1420.9491,96.37,97.54
1420.9648,97.82,98.26
1420.9806,98.27,98.41
1420.9963,98.15,98.85
1421.0121,98.57,99.3
1421.0278,98.06,98.08
1421.0435,97.73,98.14
1421.0593,96.62,96.93
1421.075,96.56,96.3
1421.0908,95.06,95.2
1421.1065,92.98,92.82
1421.1223,90.71,91.04
1421.138,89.11,88.73
1421.1538,86.35,86.31
1421.1695,83.31,83.13
1421.1853,80.48,79.74
1421.201,76.86,76.44
1421.2168,73.37,72.77
1421.2325,69.53,69.16
1421.2483,65.41,65.04
1421.264,62.07,61.48
1421.2798,58.13,57.83
1421.2955,54.29,54.1
1421.3113,51.01,50.56
1421.327,47.67,47.24
1421.3428,44.88,44.25
1421.3585,42.41,41.81
1421.3743,39.79,39.98
1421.39,38.0,37.85
1421.4058,36.54,36.23
