Trial Number,2,
Galactic Longitude (L),41.315804865832256,degrees
Galactic Latitude (B),11.4815766989487,degrees
Right Ascension (RA),276.26976063103683,degrees
Declination (DEC),12.587630915537078,degrees
observed Frequency,1420.429373047244,MHz
Observation Time,2025-11-30 14:09:24,
Calculated Parameters
Vr,5.0,km/s
Ur,150.2,km/s
Ut,169.8,km/s
Total Velocity,226.7,km/s
Distance from Sun,0.3,kpc
Galactic center Distance,8.2,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,35.15,35.12
1419.4215,34.38,34.08
1419.4372,33.9,33.62
1419.453,33.96,33.83
1419.4687,34.33,34.35
1419.4845,35.75,35.79
1419.5002,38.14,38.15
1419.516,40.97,41.42
1419.5317,44.71,45.03
1419.5475,49.05,49.29
1419.5632,53.55,53.65
1419.579,57.98,58.36
1419.5947,62.93,63.23
1419.6105,67.15,67.79
1419.6262,71.83,72.49
1419.642,75.95,76.61
1419.6577,80.28,80.63
1419.6735,83.85,84.15
1419.6892,87.21,87.99
1419.705,89.97,91.23
1419.7207,92.77,93.66
1419.7365,95.65,95.71
1419.7522,97.25,98.06
1419.768,98.52,99.75
1419.7837,100.19,100.63
1419.7995,100.74,102.04
1419.8152,101.44,101.62
1419.8309,101.25,102.09
1419.8467,101.3,102.57
1419.8624,101.26,102.38
1419.8782,100.51,101.55
1419.8939,100.34,101.11
1419.9097,100.02,100.87
1419.9254,98.84,99.79
1419.9412,98.03,99.17
1419.9569,97.67,98.27
1419.9727,97.2,97.98
1419.9884,96.31,97.53
1420.0042,96.3,96.44
1420.0199,95.3,95.94
1420.0357,94.65,95.3
1420.0514,94.76,95.67
1420.0672,94.77,95.14
1420.0829,94.28,95.55
1420.0987,94.67,95.83
1420.1144,94.71,95.82
1420.1302,95.32,96.69
1420.1459,95.41,96.82
1420.1617,96.34,97.94
1420.1774,97.15,98.47
1420.1932,98.3,99.5
1420.2089,98.81,100.4
1420.2246,99.89,101.47
1420.2404,100.16,102.42
1420.2561,101.25,103.85
1420.2719,102.12,103.88
1420.2876,103.1,105.75
1420.3034,103.65,106.43
1420.3191,104.7,107.89
1420.3349,105.11,108.49
1420.3506,106.18,109.94
1420.3664,106.07,110.6
1420.3821,106.47,111.93
1420.3979,106.72,113.44
1420.4136,106.29,113.79
1420.4294,106.24,114.05
1420.4451,105.79,113.38
1420.4609,104.98,111.87
1420.4766,105.34,109.6
1420.4924,103.83,107.9
1420.5081,102.92,106.58
1420.5239,101.9,104.54
1420.5396,101.03,103.27
1420.5554,99.91,101.69
1420.5711,99.19,101.07
1420.5869,97.95,100.13
1420.6026,96.53,98.59
1420.6183,95.93,97.5
1420.6341,94.75,96.63
1420.6498,93.72,95.89
1420.6656,93.18,94.73
1420.6813,92.4,93.65
1420.6971,91.68,93.01
1420.7128,90.96,92.52
1420.7286,90.05,91.91
1420.7443,90.41,91.47
1420.7601,90.0,91.42
1420.7758,90.2,91.47
1420.7916,90.42,91.81
1420.8073,90.62,91.73
1420.8231,90.95,92.42
1420.8388,91.09,92.94
1420.8546,92.55,93.18
1420.8703,92.79,93.36
1420.8861,93.67,93.72
1420.9018,94.09,94.93
1420.9176,95.03,95.71
1420.9333,95.4,96.63
1420.9491,96.7,97.03
1420.9648,97.26,97.6
1420.9806,97.35,97.78
1420.9963,97.8,98.12
1421.0121,97.87,97.95
1421.0278,97.96,97.98
1421.0435,97.5,97.91
1421.0593,96.44,96.75
1421.075,96.09,95.71
1421.0908,94.83,94.39
1421.1065,92.7,92.79
1421.1223,91.1,90.67
1421.138,88.84,88.4
1421.1538,85.9,86.05
1421.1695,83.12,82.68
1421.1853,79.79,79.53
1421.201,76.54,76.48
1421.2168,72.88,72.47
1421.2325,69.37,68.51
1421.2483,65.2,64.89
1421.264,61.78,61.2
1421.2798,57.97,57.58
1421.2955,54.22,53.8
1421.3113,50.95,50.46
1421.327,47.7,47.31
1421.3428,44.89,44.53
1421.3585,42.1,41.81
1421.3743,39.79,39.38
1421.39,37.81,37.82
1421.4058,36.29,36.28
