Trial Number,1490,
Galactic Longitude (L),316.80898950291026,degrees
Galactic Latitude (B),75.22500859609964,degrees
Right Ascension (RA),196.45480401150311,degrees
Declination (DEC),12.742111732623043,degrees
observed Frequency,1420.5238612362205,MHz
Observation Time,2025-11-27 09:02:54,
Calculated Parameters
Vr,24.9,km/s
Ur,-125.6,km/s
Ut,31.9,km/s
Total Velocity,129.6,km/s
Distance from Sun,-1.7,kpc
Galactic center Distance,9.8,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,30.55,30.45
1419.4215,29.6,29.63
1419.4372,29.21,29.28
1419.453,29.3,29.22
1419.4687,29.84,30.0
1419.4845,31.15,31.36
1419.5002,33.2,33.43
1419.516,36.1,36.48
1419.5317,39.43,39.64
1419.5475,43.14,43.62
1419.5632,47.3,47.8
1419.579,51.32,51.98
1419.5947,55.64,56.26
1419.6105,59.52,60.22
1419.6262,63.69,64.58
1419.642,67.1,68.38
1419.6577,71.04,72.12
1419.6735,74.73,75.34
1419.6892,77.56,78.36
1419.705,80.18,81.29
1419.7207,82.69,83.68
1419.7365,84.73,86.25
1419.7522,86.48,87.48
1419.768,87.78,88.77
1419.7837,88.79,89.72
1419.7995,89.73,90.66
1419.8152,89.95,91.45
1419.8309,90.33,91.48
1419.8467,90.35,91.34
1419.8624,90.0,91.39
1419.8782,89.66,90.66
1419.8939,88.72,90.52
1419.9097,88.37,89.57
1419.9254,87.72,88.93
1419.9412,87.32,88.25
1419.9569,86.67,87.68
1419.9727,85.79,86.83
1419.9884,84.88,86.12
1420.0042,84.35,85.76
1420.0199,83.98,85.12
1420.0357,83.58,85.22
1420.0514,83.72,84.78
1420.0672,83.48,84.31
1420.0829,83.53,84.55
1420.0987,83.29,84.67
1420.1144,83.61,84.94
1420.1302,84.09,85.59
1420.1459,84.59,85.86
1420.1617,85.33,86.34
1420.1774,85.7,87.33
1420.1932,86.74,87.92
1420.2089,87.23,88.65
1420.2246,88.26,89.02
1420.2404,89.38,90.14
1420.2561,89.72,91.19
1420.2719,90.67,91.71
1420.2876,90.69,92.76
1420.3034,91.78,93.66
1420.3191,92.43,94.08
1420.3349,92.81,94.84
1420.3506,93.25,95.52
1420.3664,93.99,95.47
1420.3821,93.96,95.88
1420.3979,94.02,96.06
1420.4136,94.25,96.59
1420.4294,93.92,96.55
1420.4451,93.04,96.64
1420.4609,93.01,96.2
1420.4766,92.42,96.74
1420.4924,91.74,97.24
1420.5081,91.3,98.88
1420.5239,89.93,99.09
1420.5396,89.62,95.65
1420.5554,88.3,92.65
1420.5711,87.73,90.58
1420.5869,86.82,89.35
1420.6026,85.95,87.78
1420.6183,84.86,86.8
1420.6341,83.81,85.56
1420.6498,82.87,84.45
1420.6656,82.06,84.1
1420.6813,81.69,83.03
1420.6971,81.13,82.13
1420.7128,80.51,81.6
1420.7286,79.91,81.24
1420.7443,80.09,80.85
1420.7601,80.08,80.87
1420.7758,79.88,80.74
1420.7916,79.89,81.04
1420.8073,80.36,81.26
1420.8231,80.67,81.6
1420.8388,81.13,82.31
1420.8546,82.09,82.56
1420.8703,82.25,83.35
1420.8861,82.97,83.68
1420.9018,83.93,84.89
1420.9176,85.05,85.15
1420.9333,85.08,85.95
1420.9491,85.5,86.36
1420.9648,86.65,87.23
1420.9806,86.52,87.26
1420.9963,87.12,87.98
1421.0121,87.68,87.47
1421.0278,87.12,87.57
1421.0435,86.93,87.24
1421.0593,86.71,86.57
1421.075,85.38,85.82
1421.0908,84.61,84.39
1421.1065,83.06,82.71
1421.1223,81.14,80.88
1421.138,78.77,78.97
1421.1538,76.89,76.39
1421.1695,74.18,73.72
1421.1853,71.4,70.74
1421.201,68.42,68.01
1421.2168,65.13,64.81
1421.2325,61.6,61.45
1421.2483,58.17,58.15
1421.264,54.57,54.73
1421.2798,51.44,50.95
1421.2955,48.18,47.91
1421.3113,44.99,44.86
1421.327,42.07,41.76
1421.3428,39.39,38.95
1421.3585,36.99,36.79
1421.3743,34.99,34.65
1421.39,33.09,32.91
1421.4058,31.52,31.37
