Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),32.19243080200939,degrees
Galactic Latitude (B),30.112329284665943,degrees
Right Ascension (RA),255.29075569615156,degrees
Declination (DEC),12.64028832541286,degrees
observed Frequency,1420.4451210787402,MHz
Observation Time,2025-11-26 13:01:26,
Calculated Parameters
Vr,8.3,km/s
Ur,125.5,km/s
Ut,208.9,km/s
Total Velocity,243.7,km/s
Distance from Sun,0.6,kpc
Galactic center Distance,8.0,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,29.4,29.41
1419.4215,28.57,28.74
1419.4372,28.25,28.24
1419.453,28.13,28.27
1419.4687,28.75,28.71
1419.4845,30.31,30.03
1419.5002,32.31,32.25
1419.516,35.27,35.16
1419.5317,38.54,38.68
1419.5475,42.52,42.29
1419.5632,46.26,46.11
1419.579,50.3,50.57
1419.5947,54.41,54.59
1419.6105,58.39,58.41
1419.6262,62.62,62.59
1419.642,66.24,66.02
1419.6577,69.99,69.92
1419.6735,72.98,73.35
1419.6892,76.24,76.19
1419.705,79.08,79.02
1419.7207,81.47,81.48
1419.7365,83.36,83.4
1419.7522,85.01,84.87
1419.768,86.14,86.64
1419.7837,87.08,87.66
1419.7995,87.91,88.53
1419.8152,88.11,89.07
1419.8309,88.44,88.49
1419.8467,88.17,88.85
1419.8624,88.41,88.41
1419.8782,87.84,88.1
1419.8939,87.78,87.77
1419.9097,86.63,86.96
1419.9254,85.77,86.81
1419.9412,85.68,85.87
1419.9569,85.0,85.04
1419.9727,84.42,84.78
1419.9884,83.3,84.01
1420.0042,83.16,83.14
1420.0199,82.37,83.16
1420.0357,82.12,82.74
1420.0514,82.38,82.73
1420.0672,82.06,82.48
1420.0829,81.84,82.51
1420.0987,82.31,82.6
1420.1144,82.22,82.79
1420.1302,82.81,83.16
1420.1459,82.98,84.04
1420.1617,83.81,84.71
1420.1774,84.32,85.2
1420.1932,84.87,86.13
1420.2089,85.91,87.14
1420.2246,86.26,87.87
1420.2404,87.34,88.7
1420.2561,88.45,89.9
1420.2719,88.65,90.92
1420.2876,89.38,92.05
1420.3034,90.19,93.23
1420.3191,90.75,94.73
1420.3349,91.53,96.67
1420.3506,91.91,98.7
1420.3664,92.34,100.26
1420.3821,92.52,101.41
1420.3979,92.34,104.08
1420.4136,92.18,109.12
1420.4294,92.19,113.36
1420.4451,91.94,115.04
1420.4609,91.38,108.18
1420.4766,90.95,100.19
1420.4924,90.36,96.46
1420.5081,89.94,93.39
1420.5239,88.7,91.99
1420.5396,87.7,90.47
1420.5554,86.77,88.87
1420.5711,86.03,87.46
1420.5869,85.21,86.31
1420.6026,84.27,85.25
1420.6183,83.26,83.95
1420.6341,82.2,82.85
1420.6498,81.17,82.3
1420.6656,80.19,81.21
1420.6813,79.68,80.78
1420.6971,79.46,80.2
1420.7128,78.88,79.8
1420.7286,78.35,79.14
1420.7443,78.07,78.81
1420.7601,77.82,78.86
1420.7758,77.87,79.03
1420.7916,78.21,79.27
1420.8073,78.53,79.02
1420.8231,78.56,79.59
1420.8388,79.16,80.2
1420.8546,79.45,80.42
1420.8703,80.37,81.02
1420.8861,80.85,81.69
1420.9018,81.54,82.85
1420.9176,82.0,83.0
1420.9333,82.76,83.4
1420.9491,83.38,84.6
1420.9648,84.07,84.61
1420.9806,84.23,85.07
1420.9963,84.71,85.3
1421.0121,84.83,85.39
1421.0278,83.97,85.04
1421.0435,84.5,85.21
1421.0593,83.55,84.44
1421.075,82.52,83.59
1421.0908,81.46,82.39
1421.1065,80.34,80.84
1421.1223,78.45,79.11
1421.138,76.21,77.02
1421.1538,73.99,74.78
1421.1695,71.36,72.01
1421.1853,68.98,69.7
1421.201,65.73,66.22
1421.2168,62.59,63.35
1421.2325,59.64,59.9
1421.2483,56.32,56.55
1421.264,53.03,53.3
1421.2798,49.5,49.92
1421.2955,46.52,46.82
1421.3113,43.28,43.65
1421.327,40.62,41.07
1421.3428,37.95,38.46
1421.3585,35.6,35.99
1421.3743,33.62,33.81
1421.39,31.91,32.1
1421.4058,30.59,30.68
