Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),33.25017014961307,degrees
Galactic Latitude (B),28.042497762030447,degrees
Right Ascension (RA),257.6138800526843,degrees
Declination (DEC),12.634626376248615,degrees
observed Frequency,1420.413625015748,MHz
Observation Time,2025-11-27 13:06:46,
Calculated Parameters
Vr,1.7,km/s
Ur,122.3,km/s
Ut,188.1,km/s
Total Velocity,224.4,km/s
Distance from Sun,0.1,kpc
Galactic center Distance,8.4,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,32.77,32.76
1419.4215,31.85,31.82
1419.4372,31.51,31.45
1419.453,31.47,31.41
1419.4687,31.97,32.07
1419.4845,33.31,33.39
1419.5002,35.73,35.69
1419.516,38.61,38.64
1419.5317,42.42,42.39
1419.5475,46.33,46.48
1419.5632,50.85,50.68
1419.579,55.3,55.42
1419.5947,59.66,59.62
1419.6105,64.15,64.04
1419.6262,68.23,68.41
1419.642,72.51,72.25
1419.6577,76.53,76.02
1419.6735,80.03,80.24
1419.6892,83.35,83.3
1419.705,86.04,85.75
1419.7207,88.74,88.47
1419.7365,90.62,90.87
1419.7522,92.29,92.82
1419.768,94.04,93.82
1419.7837,95.34,95.25
1419.7995,95.93,95.82
1419.8152,96.6,96.31
1419.8309,96.88,96.89
1419.8467,96.07,96.92
1419.8624,96.25,96.49
1419.8782,95.75,96.04
1419.8939,95.53,95.53
1419.9097,94.42,94.84
1419.9254,94.05,94.09
1419.9412,93.15,93.79
1419.9569,92.78,93.04
1419.9727,91.71,92.63
1419.9884,91.29,91.96
1420.0042,90.15,91.2
1420.0199,89.85,91.08
1420.0357,89.35,90.7
1420.0514,89.62,90.81
1420.0672,89.53,89.88
1420.0829,89.38,90.39
1420.0987,89.38,90.24
1420.1144,89.53,91.09
1420.1302,90.37,91.07
1420.1459,90.73,91.79
1420.1617,91.51,92.38
1420.1774,92.19,93.33
1420.1932,92.71,94.33
1420.2089,93.48,95.55
1420.2246,94.01,96.5
1420.2404,95.27,97.88
1420.2561,95.98,98.81
1420.2719,96.55,99.6
1420.2876,97.9,101.55
1420.3034,98.26,102.85
1420.3191,99.46,105.29
1420.3349,99.89,107.89
1420.3506,99.9,109.93
1420.3664,100.91,113.43
1420.3821,100.36,115.07
1420.3979,101.05,117.3
1420.4136,100.6,121.19
1420.4294,100.71,120.8
1420.4451,100.48,117.89
1420.4609,100.0,112.87
1420.4766,99.17,107.81
1420.4924,98.4,104.79
1420.5081,97.4,102.07
1420.5239,96.93,99.91
1420.5396,95.34,98.76
1420.5554,95.12,97.35
1420.5711,93.71,95.75
1420.5869,92.53,94.49
1420.6026,91.55,92.89
1420.6183,90.62,92.3
1420.6341,89.34,90.65
1420.6498,88.65,90.21
1420.6656,88.06,89.06
1420.6813,87.52,88.11
1420.6971,86.71,87.78
1420.7128,85.59,87.0
1420.7286,85.47,86.78
1420.7443,85.06,86.56
1420.7601,85.21,86.37
1420.7758,84.93,86.41
1420.7916,85.42,86.48
1420.8073,85.15,86.83
1420.8231,86.22,86.95
1420.8388,86.01,87.13
1420.8546,86.95,87.93
1420.8703,87.23,88.33
1420.8861,88.1,89.04
1420.9018,89.17,89.36
1420.9176,89.98,90.31
1420.9333,89.95,90.95
1420.9491,90.62,92.21
1420.9648,91.55,92.22
1420.9806,92.03,92.49
1420.9963,92.38,93.03
1421.0121,92.81,92.9
1421.0278,91.84,92.8
1421.0435,91.99,92.33
1421.0593,91.23,91.51
1421.075,89.67,90.74
1421.0908,89.12,89.42
1421.1065,87.02,87.83
1421.1223,85.63,85.51
1421.138,83.23,83.66
1421.1538,80.9,81.23
1421.1695,78.25,78.76
1421.1853,75.09,75.04
1421.201,71.85,72.32
1421.2168,68.75,68.72
1421.2325,65.22,65.18
1421.2483,61.2,61.56
1421.264,57.86,58.18
1421.2798,54.48,54.42
1421.2955,51.02,50.78
1421.3113,47.55,47.7
1421.327,44.76,44.74
1421.3428,41.76,41.89
1421.3585,39.37,39.49
1421.3743,37.27,37.32
1421.39,35.24,35.48
1421.4058,33.96,33.75
