Trial Number,523,
Galactic Longitude (L),99.5807335498685,degrees
Galactic Latitude (B),-47.5085374392246,degrees
Right Ascension (RA),356.94562317833515,degrees
Declination (DEC),12.45640979614359,degrees
observed Frequency,1420.3506328897638,MHz
Observation Time,2025-11-24 19:54:58,
Calculated Parameters
Vr,-11.6,km/s
Ur,205.3,km/s
Ut,-183.9,km/s
Total Velocity,275.6,km/s
Distance from Sun,2.4,kpc
Galactic center Distance,9.2,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,28.68,28.61
1419.4215,27.73,27.73
1419.4372,27.18,27.26
1419.453,27.27,27.32
1419.4687,27.84,27.93
1419.4845,28.92,29.22
1419.5002,30.99,31.35
1419.516,33.76,34.07
1419.5317,37.18,37.37
1419.5475,40.57,41.27
1419.5632,44.53,45.18
1419.579,48.34,49.23
1419.5947,52.54,52.9
1419.6105,56.48,57.15
1419.6262,60.23,60.78
1419.642,63.75,64.96
1419.6577,67.11,67.93
1419.6735,70.65,71.49
1419.6892,73.33,74.12
1419.705,76.05,77.26
1419.7207,78.25,78.88
1419.7365,80.38,81.25
1419.7522,81.88,82.74
1419.768,83.43,84.26
1419.7837,84.11,85.1
1419.7995,84.97,85.87
1419.8152,85.02,85.89
1419.8309,85.3,86.49
1419.8467,85.6,86.37
1419.8624,85.08,86.6
1419.8782,84.83,85.89
1419.8939,84.53,85.28
1419.9097,83.65,84.71
1419.9254,83.33,83.86
1419.9412,82.53,83.6
1419.9569,81.52,82.95
1419.9727,81.12,82.25
1419.9884,80.36,81.26
1420.0042,79.7,81.04
1420.0199,79.48,80.44
1420.0357,79.18,80.41
1420.0514,78.84,80.56
1420.0672,79.25,80.01
1420.0829,78.86,80.19
1420.0987,79.11,79.92
1420.1144,79.19,80.25
1420.1302,79.68,80.67
1420.1459,80.03,80.79
1420.1617,80.44,81.85
1420.1774,81.21,82.27
1420.1932,81.81,82.94
1420.2089,82.43,83.94
1420.2246,83.25,84.54
1420.2404,83.87,85.46
1420.2561,84.85,86.44
1420.2719,85.56,87.5
1420.2876,86.05,89.05
1420.3034,86.98,92.0
1420.3191,87.46,96.1
1420.3349,87.87,99.53
1420.3506,88.49,102.22
1420.3664,88.68,99.53
1420.3821,88.29,94.93
1420.3979,88.67,92.51
1420.4136,88.88,91.85
1420.4294,88.59,91.15
1420.4451,88.18,90.66
1420.4609,87.98,90.01
1420.4766,87.44,89.56
1420.4924,86.72,88.31
1420.5081,86.26,87.98
1420.5239,85.55,86.89
1420.5396,84.55,86.01
1420.5554,83.84,84.98
1420.5711,82.84,84.41
1420.5869,81.99,83.4
1420.6026,80.72,81.99
1420.6183,80.16,81.17
1420.6341,78.79,80.2
1420.6498,77.8,79.29
1420.6656,77.44,78.46
1420.6813,76.8,77.98
1420.6971,76.27,77.39
1420.7128,76.05,76.64
1420.7286,75.48,76.35
1420.7443,75.49,76.12
1420.7601,75.18,76.33
1420.7758,75.12,76.25
1420.7916,75.25,76.22
1420.8073,75.35,76.65
1420.8231,75.81,76.7
1420.8388,76.3,76.99
1420.8546,76.79,77.92
1420.8703,77.54,78.26
1420.8861,78.36,79.04
1420.9018,78.82,79.94
1420.9176,79.62,80.27
1420.9333,80.13,81.21
1420.9491,80.71,81.4
1420.9648,81.25,82.34
1420.9806,82.02,82.11
1420.9963,82.12,82.43
1421.0121,82.74,82.85
1421.0278,82.23,82.77
1421.0435,81.93,82.55
1421.0593,82.04,81.83
1421.075,81.06,80.72
1421.0908,79.41,79.67
1421.1065,78.36,78.7
1421.1223,76.87,76.62
1421.138,74.82,75.11
1421.1538,72.79,72.57
1421.1695,69.92,70.05
1421.1853,67.17,67.11
1421.201,64.43,64.53
1421.2168,61.21,61.3
1421.2325,58.3,58.31
1421.2483,55.3,54.81
1421.264,52.05,51.61
1421.2798,48.71,48.29
1421.2955,45.66,45.3
1421.3113,42.41,42.19
1421.327,39.94,39.73
1421.3428,37.36,37.07
1421.3585,34.77,34.7
1421.3743,32.81,32.79
1421.39,31.16,31.03
1421.4058,29.73,29.6
