Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),29.53875165519438,degrees
Galactic Latitude (B),35.09433593522417,degrees
Right Ascension (RA),249.69498922882462,degrees
Declination (DEC),12.6536088917743,degrees
observed Frequency,1420.4766171417323,MHz
Observation Time,2025-11-23 12:50:55,
Calculated Parameters
Vr,15.0,km/s
Ur,123.4,km/s
Ut,241.7,km/s
Total Velocity,271.4,km/s
Distance from Sun,1.2,kpc
Galactic center Distance,7.5,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,29.22,29.38
1419.4215,28.47,28.43
1419.4372,28.09,28.06
1419.453,27.93,28.05
1419.4687,28.59,28.75
1419.4845,30.09,29.99
1419.5002,32.09,32.17
1419.516,34.76,35.13
1419.5317,38.41,38.52
1419.5475,42.08,42.0
1419.5632,45.92,46.23
1419.579,49.95,50.18
1419.5947,53.92,54.68
1419.6105,57.91,58.78
1419.6262,61.83,62.31
1419.642,65.62,66.06
1419.6577,69.22,69.48
1419.6735,72.6,73.15
1419.6892,75.1,76.08
1419.705,78.02,78.53
1419.7207,80.53,80.79
1419.7365,82.9,83.0
1419.7522,84.19,84.57
1419.768,85.06,86.1
1419.7837,86.03,87.11
1419.7995,86.97,87.87
1419.8152,87.26,88.19
1419.8309,88.13,88.0
1419.8467,87.83,87.75
1419.8624,87.21,87.86
1419.8782,87.06,87.71
1419.8939,86.18,86.99
1419.9097,85.52,86.5
1419.9254,84.62,85.71
1419.9412,84.25,84.76
1419.9569,83.47,84.25
1419.9727,83.22,83.9
1419.9884,81.97,82.75
1420.0042,82.12,82.55
1420.0199,81.2,82.07
1420.0357,81.16,81.46
1420.0514,80.63,81.31
1420.0672,80.53,81.2
1420.0829,80.27,81.26
1420.0987,80.64,81.62
1420.1144,81.53,82.04
1420.1302,81.38,81.68
1420.1459,82.12,82.21
1420.1617,82.28,83.09
1420.1774,82.85,83.83
1420.1932,83.5,84.17
1420.2089,83.86,85.13
1420.2246,85.06,86.15
1420.2404,85.76,87.12
1420.2561,86.39,87.54
1420.2719,87.1,88.67
1420.2876,88.02,89.26
1420.3034,88.59,89.87
1420.3191,89.59,90.87
1420.3349,90.06,91.3
1420.3506,90.52,92.0
1420.3664,90.84,92.71
1420.3821,90.85,93.6
1420.3979,90.74,94.59
1420.4136,90.38,94.59
1420.4294,90.67,95.45
1420.4451,90.34,96.66
1420.4609,89.9,97.13
1420.4766,89.25,97.56
1420.4924,88.81,96.45
1420.5081,88.35,94.1
1420.5239,87.27,91.78
1420.5396,86.21,89.66
1420.5554,85.89,87.62
1420.5711,84.38,86.94
1420.5869,83.86,85.46
1420.6026,82.67,84.49
1420.6183,81.63,83.34
1420.6341,81.12,82.3
1420.6498,79.76,81.92
1420.6656,78.99,80.88
1420.6813,78.75,80.16
1420.6971,78.45,79.66
1420.7128,77.45,78.59
1420.7286,77.27,78.74
1420.7443,76.9,78.41
1420.7601,76.74,78.41
1420.7758,76.87,78.2
1420.7916,77.29,78.41
1420.8073,77.42,78.6
1420.8231,77.72,79.16
1420.8388,78.59,79.27
1420.8546,78.7,80.18
1420.8703,79.13,80.5
1420.8861,80.02,81.31
1420.9018,80.76,81.8
1420.9176,81.23,82.85
1420.9333,82.11,82.94
1420.9491,82.7,83.98
1420.9648,83.31,83.78
1420.9806,83.57,84.63
1420.9963,83.86,85.0
1421.0121,83.84,85.11
1421.0278,83.97,84.56
1421.0435,83.58,84.39
1421.0593,83.23,83.81
1421.075,82.44,82.77
1421.0908,81.24,81.7
1421.1065,79.95,80.63
1421.1223,78.07,78.36
1421.138,76.07,76.81
1421.1538,73.55,74.26
1421.1695,71.52,71.68
1421.1853,68.56,69.09
1421.201,65.49,65.81
1421.2168,62.75,62.6
1421.2325,59.35,59.36
1421.2483,56.28,56.06
1421.264,52.6,52.71
1421.2798,49.5,49.49
1421.2955,46.15,46.41
1421.3113,43.3,43.31
1421.327,40.65,40.26
1421.3428,38.01,37.86
1421.3585,35.43,35.5
1421.3743,33.37,33.55
1421.39,31.74,31.84
1421.4058,30.23,30.4
