Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),40.62417227630167,degrees
Galactic Latitude (B),12.911401946689788,degrees
Right Ascension (RA),274.6492247524922,degrees
Declination (DEC),12.591692568496526,degrees
observed Frequency,1420.3663809212599,MHz
Observation Time,2025-11-29 14:06:52,
Calculated Parameters
Vr,-8.3,km/s
Ur,134.9,km/s
Ut,158.4,km/s
Total Velocity,208.1,km/s
Distance from Sun,-0.6,kpc
Galactic center Distance,8.9,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,33.07,32.74
1419.4215,32.46,32.07
1419.4372,31.65,31.61
1419.453,31.95,31.66
1419.4687,32.54,32.39
1419.4845,34.0,33.77
1419.5002,36.03,36.1
1419.516,38.9,39.08
1419.5317,42.69,42.59
1419.5475,46.6,46.67
1419.5632,50.86,50.88
1419.579,55.53,55.39
1419.5947,59.99,59.81
1419.6105,63.95,64.3
1419.6262,68.46,68.28
1419.642,72.71,72.61
1419.6577,76.24,76.59
1419.6735,80.32,79.76
1419.6892,83.12,83.36
1419.705,86.36,85.55
1419.7207,88.97,88.45
1419.7365,90.74,90.69
1419.7522,92.56,92.82
1419.768,93.96,94.13
1419.7837,95.37,95.37
1419.7995,96.06,96.57
1419.8152,96.81,96.66
1419.8309,96.77,97.1
1419.8467,96.97,97.39
1419.8624,96.45,96.82
1419.8782,96.34,96.67
1419.8939,95.45,95.75
1419.9097,95.31,95.22
1419.9254,93.83,95.08
1419.9412,93.31,94.05
1419.9569,93.26,93.69
1419.9727,92.3,91.91
1419.9884,91.34,92.07
1420.0042,90.73,91.69
1420.0199,90.3,91.28
1420.0357,89.97,90.93
1420.0514,89.57,90.3
1420.0672,89.83,90.37
1420.0829,89.35,90.84
1420.0987,89.42,90.53
1420.1144,90.47,91.13
1420.1302,90.67,91.34
1420.1459,91.29,92.41
1420.1617,91.37,93.17
1420.1774,92.24,93.57
1420.1932,92.9,94.87
1420.2089,93.66,95.68
1420.2246,94.64,97.41
1420.2404,95.54,98.2
1420.2561,96.38,99.41
1420.2719,97.1,100.39
1420.2876,98.17,101.58
1420.3034,98.3,103.46
1420.3191,98.98,106.15
1420.3349,100.09,109.69
1420.3506,100.13,115.43
1420.3664,100.3,119.51
1420.3821,101.35,118.9
1420.3979,100.76,115.68
1420.4136,100.72,113.28
1420.4294,100.36,110.37
1420.4451,100.34,108.54
1420.4609,99.67,106.86
1420.4766,99.51,104.97
1420.4924,98.79,103.13
1420.5081,97.93,102.31
1420.5239,97.29,100.61
1420.5396,96.13,99.31
1420.5554,94.9,97.71
1420.5711,93.97,96.36
1420.5869,93.07,95.13
1420.6026,92.09,94.05
1420.6183,90.72,92.77
1420.6341,90.2,91.52
1420.6498,89.07,90.64
1420.6656,88.11,89.6
1420.6813,87.8,89.23
1420.6971,86.89,88.24
1420.7128,86.43,87.57
1420.7286,85.96,87.16
1420.7443,85.67,86.89
1420.7601,85.79,86.82
1420.7758,85.76,86.54
1420.7916,85.76,86.24
1420.8073,86.3,87.38
1420.8231,86.62,87.65
1420.8388,87.74,87.93
1420.8546,87.82,88.67
1420.8703,88.42,88.81
1420.8861,89.18,89.54
1420.9018,89.95,90.24
1420.9176,90.36,91.09
1420.9333,91.59,91.46
1420.9491,92.01,92.45
1420.9648,92.58,92.95
1420.9806,93.24,92.71
1420.9963,93.19,93.06
1421.0121,93.69,93.36
1421.0278,93.61,93.58
1421.0435,92.73,92.78
1421.0593,92.22,92.24
1421.075,91.52,91.26
1421.0908,90.2,89.75
1421.1065,88.79,88.35
1421.1223,86.95,86.42
1421.138,84.38,83.82
1421.1538,82.31,81.69
1421.1695,79.48,78.86
1421.1853,76.11,75.61
1421.201,73.32,72.41
1421.2168,69.6,68.65
1421.2325,65.92,65.33
1421.2483,62.43,61.88
1421.264,58.45,58.3
1421.2798,55.12,54.58
1421.2955,51.66,51.09
1421.3113,48.15,47.83
1421.327,45.11,44.94
1421.3428,42.3,41.95
1421.3585,39.82,39.47
1421.3743,37.83,37.35
1421.39,35.88,35.53
1421.4058,34.16,33.98
